Signal_ID,Client_ID,Client_Type,Alarm_Type,Technical_Signal,Zone,Date,Time,Shift,Priority_Level,Handled_By,Agent_Seniority,Response_Time_Min,Resolution_Time_Min,Incident,Police_Called,Fire_Department_Called,Escalated,False_Alarm_Reason,Outcome_Category
S00001,C2071,Shop,Burglary,Glass Break,Zone 6 – Office,2025-04-13,00:01,3rd,Medium,E08,Junior,12,23,No,No,No,No,Animal,False Alarm – Animal
S00002,C2008,Home,Burglary,Glass Break,Zone 1 – Main Door,2025-03-16,21:02,2nd,Medium,E02,Senior,5,10,No,No,No,No,N/A,Unclassified
S00003,C2115,Warehouse,Technical,Power Loss,Zone 0 – Control Panel,2025-05-11,13:14,1st,Low,E08,Junior,15,21,No,No,No,No,Sensor Fault,False Alarm – Sensor Fault
S00004,C2087,Factory,Tamper,Tamper Detected,Zone 1 – Main Door,2025-01-21,17:13,2nd,High,E01,Senior,2,8,No,No,No,No,Maintenance,False Alarm – Maintenance
S00005,C2118,Warehouse,Tamper,Tamper Detected,Zone 0 – Control Panel,2025-03-30,07:46,1st,High,E02,Senior,2,13,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00006,C2050,Office,Fire,Smoke Detected,Zone 7 – Storage,2025-06-24,20:36,2nd,Medium,E10,Mid,5,20,No,No,No,No,Animal,False Alarm – Animal
S00007,C2026,Office,Tamper,Cover Removed,Zone 0 – Control Panel,2025-05-11,02:55,3rd,High,E05,Mid,3,10,No,No,No,No,Dust,False Alarm – Dust
S00008,C2069,Shop,Tamper,Tamper Detected,Zone 8 – Control Room,2025-03-31,10:42,1st,Low,E05,Mid,9,17,No,No,No,No,Power outage,False Alarm – Power outage
S00009,C2143,School,Burglary,Motion Detected,Zone 9 – Hallway,2025-06-21,19:59,2nd,High,E09,Junior,13,28,No,No,No,No,User error,False Alarm – User error
S00010,C2081,Factory,Burglary,Alarm Triggered,Zone 0 – Control Panel,2025-01-02,15:51,2nd,Low,E06,Junior,7,14,No,No,No,No,Wind / Vibration,False Alarm – Wind / Vibration
S00011,C2128,School,Technical,Sensor Fault,Zone 0 – Control Panel,2025-05-26,02:41,3rd,Low,E09,Junior,12,25,No,No,No,No,Maintenance,False Alarm – Maintenance
S00012,C2150,School,Tamper,Cover Removed,Zone 0 – Control Panel,2025-02-09,03:47,3rd,Medium,E06,Junior,11,20,No,No,No,No,Maintenance,False Alarm – Maintenance
S00013,C2013,Home,Burglary,Glass Break,Zone 1 – Main Door,2025-01-24,08:48,1st,Medium,E06,Junior,11,19,No,No,No,No,Animal,False Alarm – Animal
S00014,C2120,Warehouse,Fire,Gas Leak,Zone 0 – Control Panel,2025-03-06,13:38,1st,Medium,E04,Mid,6,20,No,No,No,No,Maintenance,False Alarm – Maintenance
S00015,C2088,Factory,Technical,Power Loss,Zone 1 – Main Door,2025-05-16,11:49,1st,Medium,E07,Junior,14,27,No,No,No,No,Power outage,False Alarm – Power outage
S00016,C2046,Office,Tamper,Tamper Detected,Zone 9 – Hallway,2025-01-05,03:32,3rd,Medium,E09,Junior,12,16,No,No,No,No,User error,False Alarm – User error
S00017,C2042,Office,Burglary,Motion Detected,Zone 9 – Hallway,2025-03-13,20:48,2nd,Low,E04,Mid,9,16,No,No,No,No,Animal,False Alarm – Animal
S00018,C2015,Home,Technical,Low Battery,Zone 2 – Living Room,2025-06-21,19:15,2nd,Low,E05,Mid,9,23,No,No,No,No,Power outage,False Alarm – Power outage
